ID,Work Item Type,Title,Test Step,Step Action,Step Expected
,,,"2","Create a new case and go to Scan step.
Connect the scanner.

Requirement(s): 7095_010","An error message is displayed advising to contact technical support.

Test Method/Objective Evidence: Observation/ Screenshot"
,,,"3","Click Close.

Requirement(s): 7095_010","The error message is closed.
The scanner is disconnected.
The list of available scanners is displayed.

Test Method/Objective Evidence: Observation/ Result documentation"
,"Test Case","TC02108 – Upgrading the software version",,,
,,,"1","Setup: Force the software update using the debug tool.
Installation must be done from staging, and a new software version must be available on staging.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
,,,"2","Go to Options > About

Requirement(s): n/a","The software version is displayed.

Test Method/Objective Evidence: Observation/ Screenshot"
,,,"3","Create a new case and go to Scan step.
Connect the scanner.

Requirement(s): 7095_002","A message is displayed indicating that the software is not up to date.
The user is able to cancel or update the software.

Test Method/Objective Evidence: Observation/ Screenshot"
,,,"4","Click Cancel to decline the software update.

Requirement(s): 7095_003","The scanner is disconnected.
The list of available scanners is displayed.

Test Method/Objective Evidence: Observation/ Screenshot"
,,,"5","Reconnect the scanner.
Click on Update to update the software.

Requirement(s): n/a","The software update starts.
The software updates to the latest version available.

Test Method/Objective Evidence: Observation/ Result documentation"
,,,"6","Go to Options > About

Requirement(s): n/a","The software version is displayed.
The software has been updated.

Test Method/Objective Evidence: Observation/ Screenshot"
,"Test Case","TC02109 – No software version available",,,
,,,"1","Setup: Force the software update using the debug tool.
Installation must be done from staging, and no new software version must be available on staging.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
,,,"2","Create a new case and go to Scan step.
Connect the scanner.

Requirement(s): 7095_011","An error message is displayed advising to contact technical support.

Test Method/Objective Evidence: Observation/ Screenshot"
